"Step","KitchenMetaEnv-v0_2024_5_17_16_12_50_DI_gail_seed_6 (DI-GAIL) - r-avg","KitchenMetaEnv-v0_2024_5_17_16_12_50_DI_gail_seed_6 (DI-GAIL) - r-avg__MIN","KitchenMetaEnv-v0_2024_5_17_16_12_50_DI_gail_seed_6 (DI-GAIL) - r-avg__MAX","KitchenMetaEnv-v0_2024_5_17_16_12_39_DI_gail_seed_5 (DI-GAIL) - r-avg","KitchenMetaEnv-v0_2024_5_17_16_12_39_DI_gail_seed_5 (DI-GAIL) - r-avg__MIN","KitchenMetaEnv-v0_2024_5_17_16_12_39_DI_gail_seed_5 (DI-GAIL) - r-avg__MAX","KitchenMetaEnv-v0_2024_5_16_14_53_59_DI_gail_seed_0 (DI-GAIL) - r-avg","KitchenMetaEnv-v0_2024_5_16_14_53_59_DI_gail_seed_0 (DI-GAIL) - r-avg__MIN","KitchenMetaEnv-v0_2024_5_16_14_53_59_DI_gail_seed_0 (DI-GAIL) - r-avg__MAX","KitchenMetaEnv-v0_2024_5_16_14_56_55_hier_airl_seed_3 (H-AIRL) - r-avg","KitchenMetaEnv-v0_2024_5_16_14_56_55_hier_airl_seed_3 (H-AIRL) - r-avg__MIN","KitchenMetaEnv-v0_2024_5_16_14_56_55_hier_airl_seed_3 (H-AIRL) - r-avg__MAX","KitchenMetaEnv-v0_2024_5_16_14_56_43_hier_airl_seed_2 (H-AIRL) - r-avg","KitchenMetaEnv-v0_2024_5_16_14_56_43_hier_airl_seed_2 (H-AIRL) - r-avg__MIN","KitchenMetaEnv-v0_2024_5_16_14_56_43_hier_airl_seed_2 (H-AIRL) - r-avg__MAX","KitchenMetaEnv-v0_2024_5_16_14_56_15_hier_airl_seed_1 (H-AIRL) - r-avg","KitchenMetaEnv-v0_2024_5_16_14_56_15_hier_airl_seed_1 (H-AIRL) - r-avg__MIN","KitchenMetaEnv-v0_2024_5_16_14_56_15_hier_airl_seed_1 (H-AIRL) - r-avg__MAX","KitchenMetaEnv-v0_2024_5_17_16_10_35_option_gail_seed_6 (Option-GAIL) - r-avg","KitchenMetaEnv-v0_2024_5_17_16_10_35_option_gail_seed_6 (Option-GAIL) - r-avg__MIN","KitchenMetaEnv-v0_2024_5_17_16_10_35_option_gail_seed_6 (Option-GAIL) - r-avg__MAX","KitchenMetaEnv-v0_2024_5_17_16_10_23_option_gail_seed_5 (Option-GAIL) - r-avg","KitchenMetaEnv-v0_2024_5_17_16_10_23_option_gail_seed_5 (Option-GAIL) - r-avg__MIN","KitchenMetaEnv-v0_2024_5_17_16_10_23_option_gail_seed_5 (Option-GAIL) - r-avg__MAX","KitchenMetaEnv-v0_2024_5_12_13_34_26_option_gail_seed_1 (Option-GAIL) - r-avg","KitchenMetaEnv-v0_2024_5_12_13_34_26_option_gail_seed_1 (Option-GAIL) - r-avg__MIN","KitchenMetaEnv-v0_2024_5_12_13_34_26_option_gail_seed_1 (Option-GAIL) - r-avg__MAX","KitchenMetaEnv-v0_2024_5_17_16_9_1_option_gail_seed_7 (Ours) - r-avg","KitchenMetaEnv-v0_2024_5_17_16_9_1_option_gail_seed_7 (Ours) - r-avg__MIN","KitchenMetaEnv-v0_2024_5_17_16_9_1_option_gail_seed_7 (Ours) - r-avg__MAX","KitchenMetaEnv-v0_2024_5_17_16_8_41_option_gail_seed_6 (Ours) - r-avg","KitchenMetaEnv-v0_2024_5_17_16_8_41_option_gail_seed_6 (Ours) - r-avg__MIN","KitchenMetaEnv-v0_2024_5_17_16_8_41_option_gail_seed_6 (Ours) - r-avg__MAX","KitchenMetaEnv-v0_2024_5_17_16_7_27_option_gail_seed_5 (Ours) - r-avg","KitchenMetaEnv-v0_2024_5_17_16_7_27_option_gail_seed_5 (Ours) - r-avg__MIN","KitchenMetaEnv-v0_2024_5_17_16_7_27_option_gail_seed_5 (Ours) - r-avg__MAX"
"260","0","0","0","80","80","80","100","100","100","0","0","0","0","0","0","0","0","0","100","100","100","0","0","0","0","0","0","50","50","50","0","0","0","0","0","0"
"265","30","30","30","170","170","170","230","230","230","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","280","280","280","160","160","160","100","100","100"
"270","0","0","0","100","100","100","100","100","100","0","0","0","70","70","70","0","0","0","0","0","0","100","100","100","0","0","0","100","100","100","0","0","0","100","100","100"
"275","0","0","0","0","0","0","30","30","30","0","0","0","100","100","100","0","0","0","0","0","0","160","160","160","0","0","0","100","100","100","300","300","300","120","120","120"
"280","60","60","60","180","180","180","60","60","60","0","0","0","100","100","100","0","0","0","100","100","100","0","0","0","100","100","100","100","100","100","40","40","40","30","30","30"
"285","0","0","0","100","100","100","60","60","60","0","0","0","90","90","90","100","100","100","0","0","0","0","0","0","0","0","0","100","100","100","0","0","0","100","100","100"
"290","0","0","0","100","100","100","100","100","100","0","0","0","10","10","10","100","100","100","120","120","120","0","0","0","70","70","70","260","260","260","180","180","180","110","110","110"
"295","0","0","0","10","10","10","200","200","200","0","0","0","100","100","100","100","100","100","0","0","0","0","0","0","10","10","10","100","100","100","0","0","0","190","190","190"
"300","0","0","0","100","100","100","100","100","100","0","0","0","100","100","100","0","0","0","200","200","200","0","0","0","70","70","70","120","120","120","120","120","120","200","200","200"
"305","0","0","0","300","300","300","100","100","100","0","0","0","100","100","100","0","0","0","0","0","0","0","0","0","0","0","0","100","100","100","0","0","0","100","100","100"
"310","80","80","80","40","40","40","90","90","90","0","0","0","100","100","100","0","0","0","0","0","0","220","220","220","0","0","0","100","100","100","0","0","0","100","100","100"
"315","100","100","100","190","190","190","310","310","310","0","0","0","100","100","100","0","0","0","100","100","100","100","100","100","0","0","0","100","100","100","50","50","50","0","0","0"
"320","10","10","10","190","190","190","180","180","180","0","0","0","100","100","100","0","0","0","0","0","0","100","100","100","0","0","0","100","100","100","200","200","200","200","200","200"
"325","0","0","0","260","260","260","130","130","130","0","0","0","100","100","100","100","100","100","100","100","100","100","100","100","0","0","0","100","100","100","200","200","200","100","100","100"
"330","170","170","170","280","280","280","100","100","100","0","0","0","100","100","100","100","100","100","0","0","0","0","0","0","20","20","20","100","100","100","100","100","100","100","100","100"
"335","30","30","30","0","0","0","230","230","230","0","0","0","100","100","100","10","10","10","100","100","100","100","100","100","10","10","10","110","110","110","70","70","70","0","0","0"
"340","140","140","140","90","90","90","0","0","0","0","0","0","100","100","100","10","10","10","20","20","20","0","0","0","50","50","50","200","200","200","100","100","100","0","0","0"
"345","0","0","0","100","100","100","120","120","120","0","0","0","100","100","100","0","0","0","0","0","0","200","200","200","0","0","0","200","200","200","100","100","100","70","70","70"
"350","0","0","0","100","100","100","150","150","150","0","0","0","100","100","100","0","0","0","200","200","200","100","100","100","0","0","0","150","150","150","100","100","100","110","110","110"
"355","0","0","0","160","160","160","20","20","20","0","0","0","100","100","100","0","0","0","10","10","10","40","40","40","100","100","100","0","0","0","0","0","0","30","30","30"
"360","300","300","300","0","0","0","190","190","190","0","0","0","100","100","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","100","100","100","100","100","100"
"365","10","10","10","0","0","0","130","130","130","0","0","0","100","100","100","0","0","0","0","0","0","100","100","100","0","0","0","200","200","200","100","100","100","90","90","90"
"370","0","0","0","170","170","170","80","80","80","0","0","0","100","100","100","0","0","0","90","90","90","100","100","100","0","0","0","280","280","280","0","0","0","130","130","130"
"375","260","260","260","140","140","140","0","0","0","0","0","0","100","100","100","0","0","0","0","0","0","260","260","260","0","0","0","300","300","300","200","200","200","200","200","200"
"380","220","220","220","0","0","0","100","100","100","0","0","0","100","100","100","0","0","0","30","30","30","200","200","200","70","70","70","130","130","130","100","100","100","200","200","200"
"385","200","200","200","100","100","100","0","0","0","0","0","0","100","100","100","0","0","0","0","0","0","240","240","240","220","220","220","200","200","200","200","200","200","100","100","100"
"390","0","0","0","130","130","130","100","100","100","0","0","0","100","100","100","20","20","20","0","0","0","0","0","0","100","100","100","60","60","60","120","120","120","0","0","0"
"395","170","170","170","190","190","190","0","0","0","0","0","0","100","100","100","40","40","40","0","0","0","100","100","100","100","100","100","140","140","140","90","90","90","100","100","100"
"400","210","210","210","180","180","180","100","100","100","0","0","0","0","0","0","100","100","100","300","300","300","0","0","0","0","0","0","200","200","200","200","200","200","190","190","190"
"405","0","0","0","120","120","120","100","100","100","0","0","0","100","100","100","100","100","100","0","0","0","0","0","0","100","100","100","190","190","190","100","100","100","90","90","90"
"410","30","30","30","190","190","190","130","130","130","0","0","0","100","100","100","0","0","0","10","10","10","0","0","0","170","170","170","30","30","30","200","200","200","160","160","160"
"415","200","200","200","20","20","20","280","280","280","0","0","0","100","100","100","0","0","0","100","100","100","120","120","120","90","90","90","100","100","100","220","220","220","200","200","200"
"420","160","160","160","100","100","100","290","290","290","0","0","0","100","100","100","0","0","0","100","100","100","200","200","200","50","50","50","100","100","100","0","0","0","180","180","180"
"425","120","120","120","100","100","100","120","120","120","0","0","0","80","80","80","0","0","0","0","0","0","100","100","100","100","100","100","100","100","100","100","100","100","230","230","230"
"430","0","0","0","30","30","30","100","100","100","0","0","0","100","100","100","0","0","0","100","100","100","100","100","100","0","0","0","100","100","100","170","170","170","100","100","100"
"435","0","0","0","0","0","0","10","10","10","0","0","0","100","100","100","100","100","100","170","170","170","100","100","100","250","250","250","100","100","100","100","100","100","190","190","190"
"440","240","240","240","0","0","0","0","0","0","0","0","0","100","100","100","100","100","100","0","0","0","90","90","90","90","90","90","0","0","0","0","0","0","50","50","50"
"445","0","0","0","100","100","100","150","150","150","0","0","0","100","100","100","0","0","0","0","0","0","0","0","0","0","0","0","110","110","110","160","160","160","100","100","100"
"450","360","360","360","0","0","0","100","100","100","0","0","0","100","100","100","0","0","0","100","100","100","0","0","0","0","0","0","100","100","100","110","110","110","60","60","60"
"455","300","300","300","60","60","60","90","90","90","10","10","10","100","100","100","0","0","0","300","300","300","190","190","190","70","70","70","170","170","170","0","0","0","120","120","120"
"460","0","0","0","0","0","0","0","0","0","100","100","100","90","90","90","0","0","0","150","150","150","0","0","0","100","100","100","100","100","100","0","0","0","80","80","80"
"465","90","90","90","0","0","0","0","0","0","10","10","10","100","100","100","0","0","0","100","100","100","100","100","100","100","100","100","20","20","20","160","160","160","0","0","0"
"470","300","300","300","0","0","0","0","0","0","100","100","100","20","20","20","0","0","0","240","240","240","210","210","210","20","20","20","100","100","100","100","100","100","50","50","50"
"475","0","0","0","40","40","40","210","210","210","100","100","100","90","90","90","0","0","0","100","100","100","100","100","100","0","0","0","0","0","0","0","0","0","200","200","200"
"480","220","220","220","0","0","0","0","0","0","0","0","0","100","100","100","0","0","0","0","0","0","100","100","100","0","0","0","100","100","100","100","100","100","100","100","100"
"485","0","0","0","30","30","30","90","90","90","0","0","0","100","100","100","0","0","0","100","100","100","110","110","110","0","0","0","0","0","0","180","180","180","40","40","40"
